2019-11-15 11:41:07,819,root,INFO : connect success-----modelName=base.py,funcName=mconnect,codeLine=20 
2019-11-15 11:41:08,061,root,INFO : app com.android.contacts start done-----modelName=base.py,funcName=mapp_start,codeLine=40 
2019-11-15 11:41:12,597,root,INFO : Found Element {'description': 'Open navigation drawer'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:41:15,929,root,INFO : Found Element {'resourceId': 'com.android.contacts:id/nav_settings'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:41:19,377,root,INFO : Found Element {'text': 'My info'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:41:19,377,root,INFO : clicked meun My info-----modelName=contact_app.py,funcName=click_all_meun,codeLine=73 
2019-11-15 11:41:19,567,root,INFO : Thired meun is 123-----modelName=contact_app.py,funcName=click_all_meun,codeLine=83 
2019-11-15 11:41:20,779,root,INFO : app com.android.contacts start done-----modelName=base.py,funcName=mapp_start,codeLine=40 
2019-11-15 11:41:25,269,root,INFO : Found Element {'description': 'Open navigation drawer'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:41:28,628,root,INFO : Found Element {'resourceId': 'com.android.contacts:id/nav_settings'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:41:31,970,root,INFO : Found Element {'text': 'Accounts'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:41:31,970,root,INFO : clicked meun Accounts-----modelName=contact_app.py,funcName=click_all_meun,codeLine=73 
2019-11-15 11:41:33,846,root,INFO : Thired meun is Add account-----modelName=contact_app.py,funcName=click_all_meun,codeLine=83 
2019-11-15 11:41:35,709,root,INFO : app com.android.contacts start done-----modelName=base.py,funcName=mapp_start,codeLine=40 
2019-11-15 11:41:40,178,root,INFO : Found Element {'description': 'Open navigation drawer'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:41:43,518,root,INFO : Found Element {'resourceId': 'com.android.contacts:id/nav_settings'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:41:46,877,root,INFO : Found Element {'text': 'Default account for new contacts'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:41:46,877,root,INFO : clicked meun Default account for new contacts-----modelName=contact_app.py,funcName=click_all_meun,codeLine=73 
2019-11-15 11:41:48,211,root,INFO : Thired meun is Device-----modelName=contact_app.py,funcName=click_all_meun,codeLine=83 
2019-11-15 11:41:49,879,root,INFO : app com.android.contacts start done-----modelName=base.py,funcName=mapp_start,codeLine=40 
2019-11-15 11:41:54,368,root,INFO : Found Element {'description': 'Open navigation drawer'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:41:57,708,root,INFO : Found Element {'resourceId': 'com.android.contacts:id/nav_settings'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:42:01,068,root,INFO : Found Element {'text': 'Contacts to display'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:42:01,068,root,INFO : clicked meun Contacts to display-----modelName=contact_app.py,funcName=click_all_meun,codeLine=73 
2019-11-15 11:42:02,702,root,INFO : Thired meun is All contacts-----modelName=contact_app.py,funcName=click_all_meun,codeLine=83 
2019-11-15 11:42:04,355,root,INFO : app com.android.contacts start done-----modelName=base.py,funcName=mapp_start,codeLine=40 
2019-11-15 11:42:08,858,root,INFO : Found Element {'description': 'Open navigation drawer'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:42:12,188,root,INFO : Found Element {'resourceId': 'com.android.contacts:id/nav_settings'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:42:15,548,root,INFO : Found Element {'text': 'Sort by'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:42:15,548,root,INFO : clicked meun Sort by-----modelName=contact_app.py,funcName=click_all_meun,codeLine=73 
2019-11-15 11:42:16,903,root,INFO : Thired meun is Last name-----modelName=contact_app.py,funcName=click_all_meun,codeLine=83 
2019-11-15 11:42:18,770,root,INFO : app com.android.contacts start done-----modelName=base.py,funcName=mapp_start,codeLine=40 
2019-11-15 11:42:23,289,root,INFO : Found Element {'description': 'Open navigation drawer'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:42:26,628,root,INFO : Found Element {'resourceId': 'com.android.contacts:id/nav_settings'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:42:29,957,root,INFO : Found Element {'text': 'Name format'}-----modelName=base.py,funcName=mclick,codeLine=65 
2019-11-15 11:42:29,957,root,INFO : clicked meun Name format-----modelName=contact_app.py,funcName=click_all_meun,codeLine=73 
